date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:13	114942/114942	---M--	200	added ('OK')	image/jpeg	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/paolo-avatar.jpg	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/paolo-avatar.jpg	(from https://fazar.bitbucket.io/index.html)
12:37:15	124432/124432	---M--	200	added ('OK')	image/jpeg	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/jonski-avatar.jpg	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/jonski-avatar.jpg	(from https://fazar.bitbucket.io/index.html)
12:37:34	56875/56875	---M--	200	added ('OK')	image/jpeg	etag:%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/img/amara-avatar.jpg	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/img/amara-avatar.jpg	(from https://fazar.bitbucket.io/index.html)
12:37:34	65309/65309	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/index1.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/index1.html	(from https://fazar.bitbucket.io/index.html)
12:37:35	58851/58851	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/index2.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/index2.html	(from https://fazar.bitbucket.io/index.html)
12:37:35	40542/40542	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/chartist-js.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/chartist-js.html	(from https://fazar.bitbucket.io/index.html)
12:37:36	34874/34874	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/chart-js.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/chart-js.html	(from https://fazar.bitbucket.io/index.html)
12:37:36	39708/39708	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/flot-js.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/flot-js.html	(from https://fazar.bitbucket.io/index.html)
12:37:37	39744/39744	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/morris-js.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/morris-js.html	(from https://fazar.bitbucket.io/index.html)
12:37:37	35642/35642	---MCZ	200	added ('OK')	text/html	etag:W/%22ede8e6859f02bf56bcd4908f1e21f300%22	https://fazar.bitbucket.io/compose.html	C:/My%20Web%20Sites/ark/fazar.bitbucket.io/compose.html	(from https://fazar.bitbucket.io/index.html)
